iter	Passed	Remaining
0	145	145186
1	149	74769
2	154	51367
3	163	40589
4	168	33606
5	173	28713
6	177	25227
7	182	22616
8	187	20616
9	192	19039
10	197	17770
11	205	16928
12	211	16041
13	215	15191
14	220	14447
15	224	13808
16	228	13231
17	233	12726
18	237	12265
19	241	11850
20	246	11472
21	250	11133
22	254	10823
23	259	10534
24	263	10272
25	267	10027
26	272	9805
27	276	9591
28	280	9395
29	284	9209
30	289	9039
31	293	8877
32	297	8724
33	302	8580
34	306	8444
35	310	8314
36	314	8193
37	319	8078
38	323	7980
39	328	7876
40	332	7771
41	336	7673
42	340	7581
43	344	7490
44	348	7406
45	353	7332
46	357	7258
47	362	7192
48	367	7142
49	372	7085
50	377	7030
51	382	6979
52	387	6926
53	392	6880
54	397	6826
55	402	6778
56	407	6736
57	413	6723
58	420	6706
59	425	6663
60	429	6614
61	434	6567
62	438	6522
63	442	6475
64	447	6430
65	451	6386
66	455	6347
67	460	6305
68	464	6262
69	468	6223
70	472	6185
71	477	6149
72	481	6112
73	485	6078
74	490	6052
75	495	6025
76	500	6002
77	506	5992
78	512	5973
79	516	5943
80	521	5920
81	526	5895
82	531	5870
83	536	5852
84	541	5827
85	545	5802
86	550	5779
87	555	5757
88	560	5735
89	567	5737
90	575	5747
91	582	5750
92	589	5749
93	598	5767
94	604	5760
95	609	5741
96	615	5726
97	619	5703
98	624	5679
99	629	5666
100	634	5648
101	638	5625
102	643	5604
103	648	5588
104	653	5566
105	657	5543
106	662	5531
107	667	5510
108	671	5488
109	676	5470
110	681	5455
111	686	5439
112	690	5422
113	695	5408
114	700	5389
115	704	5369
116	709	5354
117	713	5336
118	718	5316
119	722	5299
120	726	5279
121	730	5259
122	735	5241
123	739	5223
124	744	5211
125	749	5198
126	753	5181
127	758	5167
128	762	5151
129	767	5134
130	772	5124
131	777	5111
132	781	5095
133	786	5080
134	790	5066
135	795	5055
136	802	5057
137	810	5062
138	815	5048
139	819	5035
140	824	5021
141	828	5005
142	832	4991
143	837	4977
144	841	4962
145	845	4947
146	850	4934
147	854	4921
148	859	4907
149	863	4892
150	868	4883
151	873	4872
152	877	4857
153	883	4851
154	888	4841
155	892	4831
156	897	4817
157	901	4805
158	906	4796
159	911	4786
160	915	4771
161	919	4758
162	923	4743
163	927	4728
164	931	4715
165	936	4704
166	940	4691
167	944	4679
168	949	4667
169	953	4654
170	957	4643
171	962	4631
172	966	4621
173	970	4609
174	976	4601
175	981	4595
176	986	4589
177	996	4601
178	1004	4607
179	1009	4598
180	1015	4594
